codigo,precio_minorista_usd,precio_mayorista_usd,notas
MG-001,1.50,,
MG-002,3.00,,
MG-003,10.00,7.50,
MG-004,28.00,23.00,
MG-005,3.50,,
MG-006,1.50,,
MG-007,2.00,,
MG-008,3.00,,
MG-009,2.00,,
MG-010,7.00,,
MG-011,7.00,,
MG-012,4.00,,
MG-013,4.00,,
MG-014,10.00,,
MG-015,30.00,,
MG-016,5.50,,
MG-017,5.50,,
MG-018,10.00,,
MG-019,12.00,9.00,
MG-020,12.00,,
MG-021,12.00,,
MG-022,12.00,,
MG-023,4.00,,
MG-024,2.00,,
MG-025,8.00,,
MG-026,10.00,,
MG-027,17.00,,
MG-028,10.00,,
MG-029,9.00,,
MG-030,5.00,,
MG-031,15.00,,
MG-032,0.50,,
MG-033,3.50,,
MG-034,5.00,4.00,
MG-035,23.00,,
MG-036,14.00,,
MG-037,45.00,,
MG-038,8.00,,
MG-039,10.00,,
MG-040,6.00,,
MG-041,3.00,,
MG-042,7.00,,
MG-043,3.50,,
MG-044,1.50,,
MG-045,3.00,,
MG-046,6.00,,
MG-047,2.00,,
MG-048,10.00,,
MG-049,10.00,8.00,
MG-050,4.50,,
MG-051,3.50,,
MG-052,23.00,20.00,
MG-053,11.00,,
MG-054,15.00,,
MG-055,4.00,,
MG-056,3.00,2.20,
MG-057,2.50,,
MG-058,2.50,,
MG-059,2.50,,
MG-060,2.50,,
MG-061,2.50,,
MG-062,2.50,,
MG-063,2.50,,
MG-064,2.50,,
MG-065,4.00,,
MG-066,4.00,,
MG-067,4.00,,
MG-068,13.00,10.00,
MG-069,6.00,,
MG-070,13.00,,
MG-071,13.00,,
MG-072,1.00,,
MG-073,3.00,,
MG-074,3.00,,
MG-075,3.50,,
MG-076,3.00,,
MG-077,5.00,,
MG-078,4.00,,
MG-079,3.00,,
MG-080,3.00,,
MG-081,3.00,,
MG-082,3.00,,
MG-083,3.00,,
MG-084,3.00,,
MG-085,2.00,,
MG-086,3.50,,
MG-087,0.30,,
MG-088,3.00,,
MG-089,6.00,,
